1024	   8	    13.464
4096	   8	    67.109
8192	   8	   109.079
32768	   8	   497.967
65536	   8	   886.703
131072	   8	  1312.066
262144	   8	   867.807
524288	   8	  1409.630
1048576	   8	  1873.103
2097152	   8	  2200.674
3145728	   8	  2349.384
4194304	   8	  2371.234
5242880	   8	  2556.409
6291456	   8	  2565.705
7340032	   8	  2590.133
8388608	   8	  2609.149
1024	  16	    16.207
4096	  16	    73.106
8192	  16	   106.377
32768	  16	   584.847
65536	  16	  1077.953
131072	  16	  1991.869
262144	  16	  1057.223
524288	  16	  1708.643
1048576	  16	  2627.268
2097152	  16	  3519.845
3145728	  16	  3897.826
4194304	  16	  3975.635
5242880	  16	  4369.210
6291456	  16	  4465.022
7340032	  16	  4625.349
8388608	  16	  4804.639
1024	  32	    16.519
4096	  32	    71.882
8192	  32	   110.838
32768	  32	   683.776
65536	  32	   898.294
131072	  32	  1956.426
262144	  32	   885.275
524288	  32	  1776.271
1048576	  32	  3084.184
2097152	  32	  4661.417
3145728	  32	  5443.127
4194304	  32	  5270.277
5242880	  32	  6536.930
6291456	  32	  6656.983
7340032	  32	  7267.782
8388608	  32	  7457.476
1024	  64	    16.777
4096	  64	    54.539
8192	  64	   152.034
32768	  64	   575.058
65536	  64	  1131.185
131072	  64	  1527.099
262144	  64	  1145.325
524288	  64	  2175.097
1048576	  64	  3640.767
2097152	  64	  4788.292
3145728	  64	  6303.937
4194304	  64	  5482.140
5242880	  64	  7967.476
6291456	  64	  7471.200
7340032	  64	  9397.535
8388608	  64	  9905.510
1024	 128	    17.044
4096	 128	    70.699
8192	 128	   139.108
32768	 128	   654.471
65536	 128	  1112.866
131072	 128	  2147.484
262144	 128	   913.216
524288	 128	  2192.446
1048576	 128	  3578.557
2097152	 128	  5825.227
3145728	 128	  6882.702
4194304	 128	  6863.904
5242880	 128	  8028.562
6291456	 128	  9547.134
7340032	 128	  9119.172
8388608	 128	  9927.870
1024	 256	    13.464
4096	 256	    54.713
8192	 256	   141.398
32768	 256	   356.984
65536	 256	   922.409
131072	 256	  2147.484
262144	 256	  1130.022
524288	 256	  1691.556
1048576	 256	  3759.014
2097152	 256	  5730.354
3145728	 256	  6610.290
4194304	 256	  6874.633
5242880	 256	  8664.394
6291456	 256	  9374.167
7340032	 256	  9569.887
8388608	 256	  9028.579
1024	 512	    17.111
4096	 512	    67.109
8192	 512	   136.348
32768	 512	   554.189
65536	 512	   886.703
131072	 512	  2114.445
262144	 512	  1278.502
524288	 512	  1977.539
1048576	 512	  3640.767
2097152	 512	  5389.763
3145728	 512	  5838.115
4194304	 512	  6593.773
5242880	 512	  8428.606
6291456	 512	  8119.470
7340032	 512	  8523.346
8388608	 512	 10192.460
