1024	   8	       128	    18.674
4096	   8	       512	    69.554
8192	   8	      1024	   136.348
32768	   8	      4096	   565.592
65536	   8	      8192	   922.409
131072	   8	     16384	  1179.734
262144	   8	     32768	   801.978
524288	   8	     65536	  1358.260
1048576	   8	    131072	  1882.725
2097152	   8	    262144	  2330.091
3145728	   8	    393216	  2434.792
4194304	   8	    524288	  2401.008
5242880	   8	    655360	  2633.245
6291456	   8	    786432	  2694.331
7340032	   8	    917504	  2682.904
8388608	   8	   1048576	  2719.250
1024	  16	        64	    13.855
4096	  16	       256	    68.446
8192	  16	       512	   143.765
32768	  16	      2048	   584.847
65536	  16	      4096	  1090.785
131072	  16	      8192	  1956.426
262144	  16	     16384	   898.294
524288	  16	     32768	  1730.152
1048576	  16	     65536	  2394.146
2097152	  16	    131072	  3561.171
3145728	  16	    196608	  3957.450
4194304	  16	    262144	  4017.398
5242880	  16	    327680	  4443.369
6291456	  16	    393216	  4598.864
7340032	  16	    458752	  4616.333
8388608	  16	    524288	  4902.379
1024	  32	        32	    17.602
4096	  32	       128	    68.446
8192	  32	       256	   136.348
32768	  32	      1024	   584.847
65536	  32	      2048	  1308.942
131072	  32	      4096	  2082.408
262144	  32	      8192	  1120.807
524288	  32	     16384	  2039.910
1048576	  32	     32768	  3372.735
2097152	  32	     65536	  5063.957
3145728	  32	     98304	  6279.933
4194304	  32	    131072	  5533.874
5242880	  32	    163840	  6481.059
6291456	  32	    196608	  7133.895
7340032	  32	    229376	  7254.082
8388608	  32	    262144	  7668.782
1024	  64	        16	    17.389
4096	  64	        64	    56.143
8192	  64	       128	   141.398
32768	  64	       512	   376.545
65536	  64	      1024	  1216.274
131072	  64	      2048	  1956.426
262144	  64	      4096	  1164.737
524288	  64	      8192	  2080.438
1048576	  64	     16384	  3841.089
2097152	  64	     32768	  5487.270
3145728	  64	     49152	  6911.545
4194304	  64	     65536	  6787.109
5242880	  64	     81920	  8579.880
6291456	  64	     98304	 10018.329
7340032	  64	    114688	  9823.333
8388608	  64	    131072	 10254.845
1024	 128	         8	    15.285
4096	 128	        32	    70.699
8192	 128	        64	   136.348
32768	 128	       256	   575.058
65536	 128	       512	  1189.948
131072	 128	      1024	  2432.548
262144	 128	      2048	  1290.507
524288	 128	      4096	  2241.614
1048576	 128	      8192	  3652.863
2097152	 128	     16384	  6095.699
3145728	 128	     24576	  7151.295
4194304	 128	     32768	  7556.781
5242880	 128	     40960	  9397.535
6291456	 128	     49152	  9294.920
7340032	 128	     57344	  9905.510
8388608	 128	     65536	 11368.133
1024	 256	         4	    20.849
4096	 256	        16	    74.695
8192	 256	        32	   148.743
32768	 256	       128	   680.391
65536	 256	       256	  1367.552
131072	 256	       512	  2225.732
262144	 256	      1024	  1181.001
524288	 256	      2048	  2269.374
1048576	 256	      4096	  3841.089
2097152	 256	      8192	  6112.643
3145728	 256	     12288	  7281.534
4194304	 256	     16384	  7463.804
5242880	 256	     20480	  9298.196
6291456	 256	     24576	  9130.892
7340032	 256	     28672	 10123.751
8388608	 256	     32768	 11416.084
1024	 512	         2	    20.452
4096	 512	         8	    68.174
8192	 512	        16	   138.547
32768	 512	        64	   575.058
65536	 512	       128	   875.407
131072	 512	       256	  2114.445
262144	 512	       512	  1235.406
524288	 512	      1024	  2158.021
1048576	 512	      2048	  3504.420
2097152	 512	      4096	  6112.643
3145728	 512	      6144	  7317.881
4194304	 512	      8192	  7448.004
5242880	 512	     10240	  8610.115
6291456	 512	     12288	 10212.182
7340032	 512	     14336	  9748.678
8388608	 512	     16384	 10991.681
